"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"AMN","AGRIMIN LIMITED","2007-10-09","Materials",100267258
"AMO","AMBERTECH LIMITED","2004-12-10","Technology Hardware & Equipment",16856766
"AMP","AMP LIMITED","1998-06-15","Diversified Financials",4020821112
"AMS","ATOMOS LIMITED","2018-12-28","Consumer Durables & Apparel",209743596
"AMT","ALLEGRA ORTHOPAEDICS LIMITED","2007-12-05","Health Care Equipment & Services",26637097
"AMX","AEROMETREX LIMITED","2019-12-10","Commercial & Professional Services",77408000
"AND","ANSARADA GROUP LIMITED","2020-02-14","Software & Services",103348684
"ANG","AUSTIN ENGINEERING LIMITED","2004-03-09","Capital Goods",81210404
"ANL","AMANI GOLD LIMITED","2006-12-14","Materials",18580495
"ANN","ANSELL LIMITED","1985-08-22","Health Care Equipment & Services",5360168473
"ANO","ADVANCE NANOTEK LIMITED","2005-02-24","Materials",218356386
"ANP","ANTISENSE THERAPEUTICS LIMITED","2001-12-20","Pharmaceuticals, Biotechnology & Life Sciences",112022887
"ANR","ANATARA LIFESCIENCES LTD","2014-10-16","Pharmaceuticals, Biotechnology & Life Sciences",10886971
"ANW","AUS TIN MINING LTD","2010-10-21","Materials",12716787
"ANX","ANAX METALS LIMITED","2004-06-15","Materials",25213240
"ANZ","AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED","1969-09-30","Banks",79902813744
"AO1","ASSETOWL LIMITED","2011-05-30","Software & Services",5680536
"AOA","AUSMON RESOURCES LIMITED","2009-03-31","Materials",3765797
"AOF","AUSTRALIAN UNITY OFFICE FUND","2016-06-20","Real Estate",404383255
"AON","APOLLO MINERALS LIMITED","2007-10-31","Materials",34764512
"AOP","APOLLO CONSOLIDATED LIMITED","2005-06-29","Materials",81093765
"AOU","AUROCH MINERALS LTD","2011-09-01","Materials",38993929
"APA","APA GROUP","2000-06-13","Utilities",10973012786
"APC","AUSTRALIAN POTASH LIMITED","2011-12-20","Materials",75172538
"APD","APN PROPERTY GROUP","2005-06-23","Real Estate",299888719
"APE","EAGERS AUTOMOTIVE LIMITED","1957-04-17","Retailing",3949061839
"APG","AUSTPAC RESOURCES NL","1986-07-24","Materials","N/A"
"APH","AUSTRALIAN PRIMARY HEMP LIMITED","2003-12-23","Food, Beverage & Tobacco",36709951
